ID_Promocao;ID_Venda;Valor do desconto;Qtd_Vendida;Valor do retorno;Total_Venda;Custo unitário;Preço unitário;Data;Id_Canal;ID_Historico;Id_Produto
1;10580;0;10;0;3390;155,89;339;20/01/2013;4;309;247
12;10713;209,7;12;0;8178,3;321,44;699;10/03/2012;1;94;201
3;10774;343,2;48;429;20248,8;197,28;429;24/12/2012;3;200;270
3;10917;22,99;18;0;4115,21;117,21;229,9;22/04/2011;1;96;453
21;11717;171,6;12;429;4976,4;197,28;429;28/01/2012;1;4;270
1;11782;0;10;0;2000;91,97;200;13/03/2012;4;309;1441
1;11915;0;10;0;3990;183,49;399;10/09/2011;2;199;274
1;12148;0;30;0;11070;188,13;369;13/11/2012;1;93;436
12;12376;22,99;24;0;5494,61;117,21;229,9;01/08/2012;1;113;441
21;12392;82;12;0;2378;94,27;205;01/05/2013;1;63;1312
1;12443;0;10;0;3390;155,89;339;20/05/2012;1;37;286
12;12461;41,7;12;0;1626,3;70,87;139;16/09/2012;4;308;621
1;12530;0;20;139;2780;70,87;139;01/01/2012;2;306;609
1;12581;0;5;0;695;70,87;139;13/08/2012;1;60;597
1;12605;0;20;0;7980;183,49;399;22/08/2013;3;200;248
1;12901;0;40;229,9;9196;117,21;229,9;28/06/2013;2;199;453
1;13172;0;20;0;7380;188,13;369;14/10/2012;3;200;425
1;13178;0;10;0;3990;183,49;399;28/12/2011;1;182;287
1;13180;0;10;0;6990;321,44;699;18/05/2011;1;17;201
1;13196;0;20;0;4598;117,21;229,9;26/04/2013;1;67;441
1;13451;0;30;0;11070;188,13;369;10/01/2012;3;200;419
12;13554;73,8;72;0;26494,2;188,13;369;16/07/2012;2;199;436
1;13649;0;15;0;3448,5;117,21;229,9;30/01/2013;1;63;441
3;13739;0;36;0;13284;188,13;369;18/12/2013;1;197;425
1;13999;0;10;0;3390;155,89;339;27/07/2012;1;110;286
21;14047;41,7;48;0;6630,3;70,87;139;02/04/2011;4;308;573
3;14164;36,9;36;0;13247,1;188,13;369;13/06/2013;1;137;436
12;14238;0;24;0;8856;188,13;369;05/10/2013;1;55;425
1;14341;0;20;0;4000;91,97;200;22/05/2011;1;187;1441
1;14528;0;10;0;6890;316,85;689;11/08/2013;1;191;218
1;14586;0;5;0;695;70,87;139;04/07/2012;3;200;609
1;14700;0;5;0;825;75,88;165;24/11/2013;1;12;947
1;14729;0;20;689;13780;316,85;689;16/09/2012;2;306;234
12;14732;69,5;24;139;3266,5;70,87;139;22/05/2013;1;112;561
1;14883;0;20;0;4598;117,21;229,9;17/09/2013;1;118;441
1;14924;0;6;0;834;70,87;139;09/06/2013;1;267;609
3;15038;111,2;12;0;1556,8;70,87;139;05/05/2011;3;200;609
1;15221;0;10;0;5290;243,27;529;21/04/2013;1;75;263
3;15500;42,9;12;0;5105,1;197,28;429;03/02/2011;1;140;244
3;15800;13,9;6;0;820,1;70,87;139;07/09/2011;1;167;632
1;15837;0;5;0;695;70,87;139;15/02/2012;1;193;609
1;15853;0;5;0;695;70,87;139;30/10/2013;1;91;573
9;15870;27,8;4;0;528,2;70,87;139;25/06/2013;1;239;621
1;16282;0;10;399;3990;183,49;399;22/11/2013;2;306;261
21;16416;105,8;12;0;6242,2;243,27;529;13/12/2012;1;65;289
1;16726;0;10;0;3635;185,32;363,5;31/05/2013;1;76;355
1;16853;0;5;0;695;70,87;139;06/12/2013;1;10;573
3;17129;147,6;36;0;13136,4;188,13;369;02/12/2012;1;110;419
3;17152;128,7;12;0;5019,3;197,28;429;15/04/2013;1;49;270
3;17198;41,7;6;139;792,3;70,87;139;07/03/2013;3;200;609
1;17203;0;5;0;695;70,87;139;28/04/2013;1;98;609
1;17322;0;5;139;695;70,87;139;10/04/2012;3;200;549
1;17338;0;10;0;3390;155,89;339;07/07/2013;1;27;286
1;17355;0;10;0;3390;155,89;339;14/04/2011;1;54;286
3;17598;86,7;24;0;6849,3;132,9;289;23/06/2011;2;199;1412
9;17624;0;9;0;6201;316,85;689;05/02/2013;2;306;234
1;17639;0;10;0;6990;321,44;699;19/10/2013;1;270;225
12;17782;69,9;12;699;8318,1;321,44;699;05/06/2011;2;199;209
21;17889;211,6;12;0;6136,4;243,27;529;06/04/2012;1;17;263
1;17890;0;10;0;5290;243,27;529;21/10/2012;1;151;250
1;17915;0;10;0;3990;183,49;399;17/07/2012;1;162;261
1;18256;0;20;0;2780;70,87;139;22/01/2013;4;308;632
12;18288;45,98;24;0;5471,62;117,21;229,9;06/01/2013;3;200;458
1;18683;0;10;0;6990;321,44;699;22/04/2012;4;309;201
1;18720;0;10;0;3990;183,49;399;06/03/2013;3;200;261
1;18752;0;10;0;4290;197,28;429;23/05/2012;1;187;257
18;18883;559,2;18;699;12022,8;321,44;699;09/12/2011;2;306;225
1;19052;0;20;0;7380;188,13;369;07/01/2013;1;84;425
1;19057;0;30;0;11070;188,13;369;24/01/2012;1;103;436
1;19158;0;10;0;4290;197,28;429;17/09/2013;1;43;270
1;19337;0;30;0;11070;188,13;369;11/01/2012;1;169;431
1;19589;0;20;0;7980;183,49;399;30/06/2011;3;200;274
12;19649;0;12;0;4788;183,49;399;12/05/2013;1;40;274
3;19744;0;12;0;8268;316,85;689;09/04/2011;1;31;234
1;19761;0;30;369;11070;188,13;369;19/10/2013;1;219;436
18;19837;73,8;18;0;6568,2;188,13;369;09/05/2011;2;306;431
1;19894;0;10;0;6890;316,85;689;13/04/2012;1;67;218
1;20049;0;15;0;3448,5;117,21;229,9;13/09/2013;1;187;458
12;20327;13,9;12;0;1654,1;70,87;139;29/10/2013;1;30;573
1;20425;0;10;0;6990;321,44;699;22/07/2012;1;28;233
1;20482;0;5;0;695;70,87;139;02/10/2013;1;72;573
1;20524;0;5;0;695;70,87;139;06/02/2012;1;31;597
1;20585;0;30;0;11070;188,13;369;31/08/2012;1;25;431
12;20789;68,9;12;0;8199,1;316,85;689;28/03/2012;1;127;218
3;20966;147,6;36;0;13136,4;188,13;369;12/04/2011;1;11;425
3;20967;0;6;0;834;70,87;139;05/03/2011;1;116;597
1;20973;0;15;0;3448,5;117,21;229,9;25/01/2012;1;81;458
1;21047;0;20;0;2780;70,87;139;21/04/2013;1;40;632
9;21221;0;9;0;3591;183,49;399;11/05/2011;1;243;261
21;21277;52,9;12;529;6295,1;243,27;529;01/01/2011;1;74;263
3;21433;119,7;9;0;3471,3;183,49;399;06/12/2013;1;227;274
1;21493;0;10;399;3990;183,49;399;14/11/2011;1;84;248
3;21514;115,6;12;289;3352,4;132,9;289;22/08/2013;1;5;1412
5;21552;314,55;13;0;8772,45;321,44;699;05/08/2013;1;268;225
12;21565;211,6;12;0;6136,4;243,27;529;17/05/2012;1;153;276
3;21636;137,8;24;0;16398,2;316,85;689;17/09/2012;4;308;218
1;21845;0;10;0;3390;155,89;339;29/06/2012;1;148;247
1;21991;0;10;0;3990;183,49;399;23/10/2013;1;8;261
12;22053;33,9;12;339;4034,1;155,89;339;19/03/2013;1;181;247
9;22570;73,8;27;0;9889,2;188,13;369;30/07/2011;1;220;425
1;22899;0;15;0;3448,5;117,21;229,9;05/04/2011;2;199;441
12;23171;101,7;12;0;3966,3;155,89;339;22/11/2011;2;199;286
1;23539;0;5;0;1000;91,97;200;18/04/2011;1;115;1441
1;23571;0;10;0;6890;316,85;689;19/10/2013;1;147;218
1;23605;0;10;0;6990;321,44;699;09/05/2013;1;146;225
3;23713;68,97;18;0;4069,23;117,21;229,9;27/12/2011;1;167;458
1;23736;0;10;699;6990;321,44;699;12/04/2011;1;192;233
1;23737;0;20;0;2780;70,87;139;26/08/2012;1;14;597
3;23860;16,5;6;0;973,5;75,88;165;29/09/2012;1;61;947
1;23898;0;10;0;4290;197,28;429;25/08/2012;1;43;283
1;23943;0;5;0;695;70,87;139;30/08/2012;1;53;573
3;24294;55,6;6;0;778,4;70,87;139;21/03/2012;1;40;632
18;24340;0;18;369;6642;188,13;369;18/10/2013;2;306;419
1;24473;0;10;429;4290;197,28;429;12/05/2011;1;179;244
23;24679;209,7;13;0;8877,3;321,44;699;27/05/2012;1;269;209
1;24735;0;10;0;3990;183,49;399;27/02/2011;1;57;287
1;24749;0;10;0;6890;316,85;689;07/08/2011;1;13;218
1;24859;0;10;0;4290;197,28;429;11/10/2012;1;145;257
1;24909;0;10;0;4290;197,28;429;26/03/2011;3;200;257
1;25119;0;10;0;1390;70,87;139;20/09/2012;2;199;632
1;25348;0;5;0;695;70,87;139;25/01/2012;1;168;609
1;25487;0;20;229,9;4598;117,21;229,9;08/06/2012;4;308;441
1;25516;0;10;0;1390;70,87;139;25/04/2012;3;200;561
3;25576;0;6;0;834;70,87;139;06/02/2012;3;200;621
1;25949;0;10;699;6990;321,44;699;02/10/2011;1;63;217
3;26051;22,99;18;0;4115,21;117,21;229,9;23/09/2013;1;100;453
1;26375;0;10;0;2000;91,97;200;15/12/2012;1;70;1441
1;26534;0;10;0;1390;70,87;139;31/05/2011;1;179;621
3;26603;119,7;12;0;4668,3;183,49;399;15/01/2011;3;200;248
3;26621;0;12;0;5148;197,28;429;01/01/2011;1;27;244
1;26663;0;15;0;3448,5;117,21;229,9;12/04/2011;1;29;453
1;26787;0;5;0;695;70,87;139;17/02/2012;1;132;609
1;26788;0;10;0;3690;188,13;369;04/10/2011;1;180;419
1;27008;0;10;0;6890;316,85;689;20/12/2012;1;98;202
1;27037;0;10;0;5290;243,27;529;12/03/2011;3;200;250
1;27166;0;20;0;4598;117,21;229,9;20/02/2011;1;122;441
3;27249;49,5;6;0;940,5;75,88;165;19/11/2011;3;200;947
1;27334;0;10;0;3635;185,32;363,5;05/07/2011;1;49;355
1;27501;0;30;0;11070;188,13;369;08/07/2011;1;13;436
21;27536;279,6;12;0;8108,4;321,44;699;06/12/2012;4;308;217
1;27845;0;30;0;11070;188,13;369;23/09/2012;1;181;419
3;27873;55,6;6;0;778,4;70,87;139;23/12/2013;1;17;585
1;27887;0;10;0;4290;197,28;429;24/12/2011;3;200;257
5;27984;54,525;13;0;4670,975;185,32;363,5;07/04/2011;1;273;355
1;28568;0;10;0;5290;243,27;529;20/04/2012;1;239;289
1;28612;0;10;0;6890;316,85;689;01/05/2012;1;184;218
1;28713;0;10;0;4290;197,28;429;30/11/2012;1;27;257
1;28785;0;5;0;825;75,88;165;07/11/2012;1;80;947
1;28838;0;20;0;2780;70,87;139;21/10/2012;4;309;632
1;29037;0;10;0;1390;70,87;139;04/08/2011;1;180;632
1;29038;0;20;0;2780;70,87;139;15/08/2011;1;9;549
3;29314;0;12;0;8268;316,85;689;20/09/2012;1;54;218
12;29342;171,6;12;0;4976,4;197,28;429;01/10/2012;1;74;244
1;29425;0;10;0;3990;183,49;399;28/04/2011;1;146;248
1;29459;0;30;0;11070;188,13;369;04/06/2013;1;152;419
21;29692;27,8;24;0;3308,2;70,87;139;22/01/2012;1;91;597
12;29913;13,9;12;0;1654,1;70,87;139;24/03/2012;1;160;597
1;29927;0;30;0;11070;188,13;369;09/07/2012;3;200;431
3;30131;69,5;12;0;1598,5;70,87;139;28/07/2013;4;308;621
21;30150;22,99;24;0;5494,61;117,21;229,9;23/10/2011;1;118;453
1;30203;0;10;0;1390;70,87;139;22/04/2013;3;200;585
1;30291;0;10;200;2000;91,97;200;25/04/2012;3;200;1441
1;30373;0;10;689;6890;316,85;689;18/06/2011;1;221;234
1;30438;0;15;0;3448,5;117,21;229,9;03/01/2013;1;121;441
12;30602;13,9;12;0;1654,1;70,87;139;29/08/2011;1;194;621
1;30657;0;20;0;2780;70,87;139;17/05/2011;1;134;597
1;30878;0;20;369;7380;188,13;369;13/06/2013;4;309;419
9;31010;73,8;27;0;9889,2;188,13;369;21/04/2013;1;230;436
1;31308;0;10;289;2890;132,9;289;25/11/2013;1;31;1412
21;31478;27,8;24;0;3308,2;70,87;139;06/04/2012;1;189;632
12;31483;171,6;12;0;4976,4;197,28;429;26/12/2011;4;308;244
1;31536;0;10;0;4290;197,28;429;17/11/2013;1;159;283
1;31854;0;10;0;6890;316,85;689;29/06/2013;2;306;218
12;31961;105,8;12;0;6242,2;243,27;529;16/05/2013;1;83;289
1;32353;0;20;369;7380;188,13;369;16/04/2011;2;306;436
3;32408;39,9;12;0;4748,1;183,49;399;26/03/2012;1;193;248
1;32481;0;20;0;4598;117,21;229,9;05/09/2012;2;306;441
1;32612;0;12;0;3468;132,9;289;17/10/2011;1;268;1412
1;32750;0;20;0;7380;188,13;369;04/10/2011;1;216;431
1;32955;0;20;289;5780;132,9;289;06/07/2011;3;200;1412
3;33231;82,5;18;0;2887,5;75,88;165;20/11/2011;3;200;947
23;33405;413,4;13;0;8543,6;316,85;689;10/09/2011;1;273;202
1;33441;0;5;0;695;70,87;139;15/07/2012;1;151;585
1;33456;0;10;0;4290;197,28;429;27/08/2011;1;113;283
1;33545;0;10;0;1390;70,87;139;09/01/2012;1;267;561
1;33689;0;30;0;11070;188,13;369;20/08/2013;1;142;436
1;33805;0;20;0;4598;117,21;229,9;23/05/2011;1;108;453
12;33935;69,5;24;0;3266,5;70,87;139;08/03/2011;4;308;621
1;34060;0;10;0;6890;316,85;689;04/12/2012;1;87;202
1;34081;0;10;0;4290;197,28;429;26/07/2012;4;309;283
1;34388;0;10;399;3990;183,49;399;14/02/2011;1;192;261
1;34526;0;5;0;825;75,88;165;19/12/2012;1;53;947
1;34559;0;20;699;13980;321,44;699;23/08/2012;4;309;217
1;34680;0;10;0;4290;197,28;429;04/09/2012;2;306;270
9;34988;27,8;4;0;528,2;70,87;139;14/12/2011;4;309;549
1;35023;0;30;0;11970;183,49;399;22/11/2011;3;200;248
1;35130;0;10;0;3990;183,49;399;09/05/2011;4;309;261
12;35163;60;12;0;2340;91,97;200;07/08/2012;4;308;1441
14;35183;68,97;26;229,9;5908,43;117,21;229,9;02/06/2011;1;267;453
12;35369;55,6;12;0;1612,4;70,87;139;22/06/2011;1;75;621
1;35421;0;5;0;1000;91,97;200;04/02/2011;1;8;1441
1;35429;0;10;0;1390;70,87;139;03/12/2013;1;91;609
1;35990;0;10;0;4290;197,28;429;02/01/2011;1;185;270
1;35993;0;10;0;4290;197,28;429;26/09/2011;2;199;270
3;36006;0;12;0;5148;197,28;429;01/12/2013;1;111;270
1;36281;0;5;0;695;70,87;139;28/01/2012;1;91;632
3;36375;27,8;6;0;806,2;70,87;139;21/06/2013;1;67;549
21;36538;41,7;24;0;3294,3;70,87;139;20/04/2012;1;72;561
1;36818;0;10;0;6890;316,85;689;05/11/2013;1;198;234
1;36821;0;10;0;6890;316,85;689;05/09/2012;1;108;218
1;37117;0;6;0;834;70,87;139;24/12/2011;1;227;597
27;37133;0;9;0;6291;321,44;699;01/01/2011;2;306;225
21;37289;42,9;12;0;5105,1;197,28;429;03/10/2011;1;173;257
1;37328;0;20;399;7980;183,49;399;14/11/2011;4;308;261
21;37372;139,8;12;0;8248,2;321,44;699;06/08/2011;1;105;209
1;37513;0;20;0;2780;70,87;139;05/03/2012;1;165;561
1;37554;0;10;0;1390;70,87;139;16/05/2011;2;199;573
1;37751;0;20;0;7980;183,49;399;29/01/2011;2;306;287
3;38135;33;6;165;957;75,88;165;18/02/2011;1;195;947
1;38327;0;30;0;11070;188,13;369;09/07/2011;2;199;436
18;38491;27,8;18;0;2474,2;70,87;139;14/03/2011;2;306;549
27;38512;0;18;139;2502;70,87;139;30/12/2012;2;306;561
1;38733;0;30;0;11070;188,13;369;28/08/2012;2;306;425
1;38921;0;5;0;695;70,87;139;26/01/2011;1;171;573
1;38962;0;10;0;6890;316,85;689;08/09/2011;3;200;218
3;39092;20;6;200;1180;91,97;200;22/01/2012;1;72;1441
1;39290;0;10;0;6890;316,85;689;17/04/2011;1;121;234
1;39367;0;10;0;3990;183,49;399;29/10/2012;1;82;287
1;39538;0;15;0;3448,5;117,21;229,9;12/01/2013;1;154;453
1;39977;0;10;339;3390;155,89;339;05/02/2011;2;199;247
12;40019;39,9;12;0;4748,1;183,49;399;26/02/2013;1;168;261
1;40267;0;10;0;3990;183,49;399;25/02/2013;1;82;248
21;40505;258,3;24;0;8597,7;188,13;369;28/08/2013;4;308;419
1;41015;0;10;0;1390;70,87;139;24/02/2011;1;219;585
1;41129;0;10;0;5290;243,27;529;14/03/2011;1;52;263
1;41221;0;10;699;6990;321,44;699;02/04/2012;1;81;217
1;41428;0;10;0;3990;183,49;399;01/04/2011;1;11;248
1;41514;0;10;0;5290;243,27;529;30/11/2011;1;109;276
1;41761;0;5;0;825;75,88;165;28/04/2012;1;114;947
1;41788;0;10;0;1390;70,87;139;27/11/2013;1;105;621
1;42037;0;10;0;1390;70,87;139;06/04/2013;1;185;632
1;42169;0;10;0;3390;155,89;339;03/03/2011;2;306;286
1;42207;0;10;0;4290;197,28;429;19/06/2013;1;144;270
3;42356;68,97;18;0;4069,23;117,21;229,9;26/05/2012;1;20;458
1;42755;0;20;399;7980;183,49;399;26/03/2013;2;199;274
1;42789;0;10;0;5290;243,27;529;24/06/2011;1;52;289
1;43065;0;10;0;3990;183,49;399;16/10/2012;1;157;248
1;43147;0;5;0;695;70,87;139;09/08/2012;1;193;597
1;43170;0;5;139;695;70,87;139;25/10/2013;1;182;561
1;43306;0;10;0;1390;70,87;139;09/03/2013;1;236;609
3;43431;221,4;144;0;52914,6;188,13;369;18/11/2011;2;199;419
1;43601;0;12;139;1668;70,87;139;31/01/2012;1;272;597
12;44054;85,8;12;0;5062,2;197,28;429;18/12/2012;1;105;257
21;44102;55,6;48;0;6616,4;70,87;139;16/08/2011;1;33;561
1;44112;0;10;0;1390;70,87;139;30/12/2013;4;308;585
1;44302;0;10;0;4290;197,28;429;28/02/2012;1;17;257
1;44395;0;30;0;11070;188,13;369;10/09/2012;1;168;419
1;44686;0;10;0;1390;70,87;139;29/05/2011;1;130;585
12;44766;211,6;12;0;6136,4;243,27;529;26/10/2011;1;31;289
1;44786;0;10;0;6890;316,85;689;10/07/2013;1;32;202
1;45145;0;10;0;5290;243,27;529;03/09/2011;1;44;250
21;45640;128,7;12;0;5019,3;197,28;429;28/01/2011;4;308;283
1;45695;0;15;0;3448,5;117,21;229,9;08/09/2013;1;148;453
1;45764;0;10;0;4290;197,28;429;25/03/2012;4;309;257
1;45796;0;10;0;1390;70,87;139;06/12/2012;1;172;621
3;45861;39,9;12;0;4748,1;183,49;399;21/04/2013;1;32;248
1;45886;0;10;0;3990;183,49;399;12/11/2012;1;62;248
12;45969;0;24;0;8856;188,13;369;09/04/2011;3;200;419
1;46183;0;10;339;3390;155,89;339;22/01/2011;3;200;273
1;46239;0;20;0;8580;197,28;429;23/04/2011;1;76;270
3;46381;13,9;6;0;820,1;70,87;139;02/12/2012;1;138;549
1;46493;0;10;0;3990;183,49;399;09/03/2012;2;306;261
3;46693;49,5;6;0;940,5;75,88;165;13/05/2013;1;24;947
9;46761;41,7;4;0;514,3;70,87;139;27/07/2011;2;306;561
1;47065;0;15;0;3448,5;117,21;229,9;17/12/2011;1;42;441
1;47172;0;15;0;3448,5;117,21;229,9;20/04/2013;1;27;453
1;47376;0;5;0;695;70,87;139;09/10/2012;1;132;561
1;47518;0;15;0;3448,5;117,21;229,9;20/02/2011;1;186;441
18;47582;85,8;9;0;3775,2;197,28;429;07/11/2013;1;232;257
1;47653;0;5;0;695;70,87;139;18/01/2011;1;91;549
3;47675;0;6;0;990;75,88;165;12/07/2012;1;77;947
1;47767;0;10;0;4290;197,28;429;31/08/2011;1;24;244
1;47948;0;15;0;3448,5;117,21;229,9;26/05/2011;1;198;441
12;48071;275,6;12;689;7992,4;316,85;689;28/04/2012;1;52;234
1;48222;0;10;0;3990;183,49;399;10/11/2011;1;80;287
1;48264;0;5;0;695;70,87;139;09/05/2013;1;172;549
1;48366;0;30;0;11070;188,13;369;14/04/2013;1;24;436
12;48547;33,9;12;0;4034,1;155,89;339;06/01/2012;2;199;273
18;48612;86,7;9;289;2514,3;132,9;289;10/07/2013;1;215;1412
1;48656;0;15;0;3448,5;117,21;229,9;16/10/2013;1;140;441
1;48660;0;20;0;4598;117,21;229,9;30/04/2013;1;61;441
3;48892;13,9;6;139;820,1;70,87;139;11/02/2012;1;102;573
1;49336;0;5;0;695;70,87;139;23/08/2012;1;153;561
1;49403;0;20;0;7380;188,13;369;13/09/2011;1;177;419
3;49427;55,6;6;0;778,4;70,87;139;25/03/2012;1;180;609
27;49491;66;18;0;2904;75,88;165;24/09/2012;4;309;947
12;49732;257,4;48;0;20334,6;197,28;429;02/07/2012;3;200;244
1;49948;0;10;0;3635;185,32;363,5;28/03/2011;1;182;355
12;50092;147,6;24;0;8708,4;188,13;369;18/08/2013;1;20;419
21;50301;119,7;12;0;4668,3;183,49;399;28/09/2012;1;174;261
1;50417;0;10;0;4290;197,28;429;20/12/2013;1;107;283
12;50467;0;12;0;1668;70,87;139;10/07/2013;1;11;609
