ID_Geografia;Continente;Pais
839;America do Norte;Estados Unidos
840;America do Norte;Estados Unidos
841;America do Norte;Estados Unidos
842;America do Norte;Estados Unidos
843;America do Norte;Estados Unidos
844;America do Norte;Estados Unidos
845;America do Norte;Estados Unidos
846;America do Norte;Estados Unidos
847;America do Norte;Estados Unidos
848;America do Norte;Estados Unidos
849;America do Norte;Estados Unidos
850;America do Norte;Estados Unidos
851;America do Norte;Estados Unidos
852;America do Norte;Estados Unidos
853;America do Norte;Estados Unidos
854;America do Norte;Estados Unidos
855;America do Norte;Estados Unidos
856;America do Norte;Estados Unidos
857;America do Norte;Estados Unidos
858;America do Norte;Estados Unidos
859;America do Norte;Estados Unidos
860;America do Norte;Estados Unidos
861;America do Norte;Estados Unidos
862;America do Norte;Estados Unidos
863;America do Norte;Estados Unidos
864;America do Norte;Estados Unidos
865;America do Norte;Estados Unidos
866;America do Norte;Estados Unidos
867;America do Norte;Estados Unidos
868;America do Norte;Estados Unidos
869;America do Norte;Estados Unidos
870;America do Norte;Estados Unidos
871;America do Norte;Estados Unidos
872;America do Norte;Estados Unidos
873;America do Norte;Estados Unidos
874;America do Norte;Estados Unidos
875;America do Norte;Estados Unidos
876;America do Norte;Estados Unidos
877;America do Norte;Estados Unidos
878;America do Norte;Estados Unidos
879;America do Norte;Estados Unidos
880;America do Norte;Estados Unidos
882;America do Norte;Estados Unidos
883;America do Norte;Estados Unidos
884;America do Norte;Estados Unidos
885;America do Norte;Estados Unidos
886;America do Norte;Estados Unidos
887;America do Norte;Estados Unidos
888;America do Norte;Estados Unidos
889;America do Norte;Estados Unidos
890;America do Norte;Estados Unidos
891;America do Norte;Estados Unidos
892;America do Norte;Estados Unidos
893;America do Norte;Estados Unidos
894;America do Norte;Estados Unidos
895;America do Norte;Estados Unidos
896;America do Norte;Estados Unidos
897;America do Norte;Estados Unidos
898;America do Norte;Estados Unidos
899;America do Norte;Estados Unidos
900;America do Norte;Estados Unidos
901;America do Norte;Estados Unidos
902;America do Norte;Estados Unidos
904;America do Norte;Estados Unidos
905;America do Norte;Estados Unidos
906;America do Norte;Estados Unidos
907;America do Norte;Estados Unidos
908;America do Norte;Estados Unidos
909;America do Norte;Estados Unidos
910;America do Norte;Estados Unidos
911;America do Norte;Estados Unidos
912;America do Norte;Estados Unidos
913;America do Norte;Estados Unidos
914;America do Norte;Estados Unidos
915;America do Norte;Estados Unidos
916;America do Norte;Estados Unidos
917;America do Norte;Estados Unidos
918;America do Norte;Estados Unidos
919;America do Norte;Estados Unidos
920;America do Norte;Estados Unidos
921;America do Norte;Estados Unidos
922;America do Norte;Estados Unidos
923;America do Norte;Estados Unidos
924;America do Norte;Estados Unidos
925;America do Norte;Estados Unidos
926;America do Norte;Estados Unidos
927;America do Norte;Estados Unidos
928;America do Norte;Estados Unidos
929;America do Norte;Estados Unidos
930;America do Norte;Estados Unidos
931;America do Norte;Estados Unidos
932;America do Norte;Estados Unidos
933;America do Norte;Estados Unidos
934;America do Norte;Estados Unidos
935;America do Norte;Estados Unidos
936;America do Norte;Estados Unidos
937;America do Norte;Estados Unidos
938;America do Norte;Estados Unidos
939;America do Norte;Estados Unidos
940;America do Norte;Estados Unidos
941;America do Norte;Estados Unidos
943;America do Norte;Estados Unidos
944;America do Norte;Estados Unidos
945;America do Norte;Estados Unidos
946;America do Norte;Estados Unidos
947;America do Norte;Estados Unidos
948;America do Norte;Estados Unidos
949;America do Norte;Estados Unidos
950;America do Norte;Estados Unidos
951;America do Norte;Estados Unidos
952;America do Norte;Estados Unidos
